candidate_id,rank,score,reasoning
CAND_0039754,45,0.9552,"Senior Applied Scientist, 16.2 yrs. shipped learning-to-rank, retrieval, semantic search; pinecone, weaviate; evaluated via ndcg, mrr; in India, will relocate; engaged (81% response, active)."
CAND_0077285,46,0.9546,"Recommendation Systems Engineer, 5.5 yrs. shipped recommendation system, ranking model, retrieval; pinecone, milvus; evaluated via a/b test, evaluation framework; engaged (56% response, active)."
CAND_0076163,47,0.9529,"NLP Engineer, 6.9 yrs. shipped recommendation system, learning-to-rank, semantic search; weaviate, opensearch; evaluated via eval framework, click-through; engaged (84% response, active)."
CAND_0074225,48,0.9528,"Machine Learning Engineer, 4.3 yrs. shipped recommendation system, ranking model, retrieval; pinecone, qdrant; evaluated via a/b test, evaluation framework; in India, will relocate; engaged (91% response, active)."
CAND_0040887,49,0.9507,"Machine Learning Engineer, 4.7 yrs. shipped recommendation system, recsys, retrieval; pinecone, milvus; evaluated via evaluation framework, relevance judgment; outside India, no relocate; engaged (84% response, active)."
CAND_0075249,50,0.9494,"Applied ML Engineer, 6.2 yrs. shipped recommendation system, learning to rank, retrieval; pinecone, milvus; evaluated via a/b test, relevance judgment; engaged (82% response, active)."
CAND_0011162,51,0.9475,"Recommendation Systems Engineer, 5.8 yrs. shipped recommendation system, ranking model, learning-to-rank; pinecone, weaviate; evaluated via a/b test, click-through; in India, will relocate; engaged (75% response, active)."
CAND_0053695,52,0.9459,"Recommendation Systems Engineer, 5.8 yrs. shipped recommendation system, ranking model, learning-to-rank; pinecone, elasticsearch; evaluated via a/b test, relevance judgment; engaged (60% response, active)."
CAND_0029367,53,0.9441,"Senior Data Scientist, 5.7 yrs. shipped recommendation system, recsys, retrieval; pinecone, elasticsearch; evaluated via evaluation framework, relevance judgment; engaged (77% response, active)."
CAND_0058575,54,0.9434,"AI Engineer, 5.8 yrs. shipped recommendation system, retrieval, semantic search; pinecone, elasticsearch; evaluated via a/b test, eval framework; in India, will relocate; engaged (69% response, active)."
CAND_0036863,55,0.9416,"Senior Data Scientist, 4.3 yrs. shipped recommendation system, learning-to-rank, embedding; pinecone, qdrant; evaluated via eval framework, evaluation framework; in India, will relocate."
CAND_0081852,56,0.9412,"Senior Data Scientist, 5.9 yrs. shipped recommendation system, retrieval, semantic search; pinecone, weaviate; evaluated via evaluation framework; Delhi-based (preferred)."
CAND_0051292,57,0.9400,"Applied ML Engineer, 5.2 yrs. shipped recommendation system, learning-to-rank, retrieval; pinecone, elasticsearch; evaluated via evaluation framework, relevance judgment; engaged (52% response, active)."
CAND_0001610,58,0.9381,"Machine Learning Engineer, 3.0 yrs. shipped recommendation system, ranking model, retrieval; pinecone, milvus; evaluated via a/b test, relevance judgment; in India, will relocate; engaged (57% response, active)."
CAND_0010770,59,0.9355,"Recommendation Systems Engineer, 15.2 yrs. shipped recommendation system, recsys, ranking model; qdrant, elasticsearch; evaluated via a/b test, relevance judgment; in India, will relocate; engaged (73% response, active)."
CAND_0052335,60,0.9350,"Applied ML Engineer, 6.4 yrs. shipped recommendation system, learning to rank, semantic search; pinecone, faiss; evaluated via a/b test, evaluation framework; engaged (79% response, active)."
CAND_0049896,61,0.9333,"Search Engineer, 7.3 yrs. shipped recommendation system, retrieval, vector search; pinecone; evaluated via a/b test, evaluation framework; in India, will relocate."
CAND_0076904,62,0.9312,"Senior Data Scientist, 4.2 yrs. shipped recommendation system, learning-to-rank, retrieval; weaviate, opensearch; evaluated via a/b test, relevance judgment; outside India, no relocate; engaged (54% response, active)."
CAND_0009691,63,0.9252,"Applied ML Engineer, 6.2 yrs. shipped recommendation system, semantic search, embedding; pinecone, qdrant; evaluated via a/b test; in India, will relocate; engaged (64% response, active)."
CAND_0076251,64,0.9248,"Search Engineer, 7.6 yrs. shipped recommendation system, learning to rank, retrieval; weaviate, elasticsearch; evaluated via relevance judgment; in India, will relocate; engaged (51% response, active)."
CAND_0018549,65,0.9226,"Recommendation Systems Engineer, 6.8 yrs. shipped recommendation system, learning-to-rank, retrieval; weaviate, qdrant; evaluated via a/b test, click-through; in India, will relocate; engaged (73% response, active)."
CAND_0078002,66,0.9198,"Machine Learning Engineer, 6.3 yrs. shipped recommendation system, ranking model, retrieval; weaviate; evaluated via a/b test, eval framework; engaged (86% response, active)."
CAND_0096142,67,0.9192,"Applied ML Engineer, 5.0 yrs. shipped recommendation system, ranking model, retrieval; pinecone, weaviate; evaluated via a/b test, click-through; Hyderabad-based (preferred); engaged (84% response, active)."
CAND_0042029,68,0.9182,"Senior Data Scientist, 6.5 yrs. shipped recommendation system, ranking model, learning to rank; pinecone, weaviate; evaluated via a/b test, evaluation framework; Delhi-based (preferred); concern: not open-to-work."
CAND_0076831,69,0.9181,"Search Engineer, 4.0 yrs. shipped recommendation system, ranking model, retrieval; weaviate, milvus; evaluated via a/b test, click-through; Delhi-based (preferred); engaged (50% response, active)."
CAND_0006557,70,0.9178,"NLP Engineer, 7.9 yrs. shipped recommendation system, learning-to-rank, retrieval; pinecone, weaviate; evaluated via a/b test, eval framework; in India, will relocate; engaged (63% response, active)."
CAND_0014440,71,0.9172,"Recommendation Systems Engineer, 6.4 yrs. shipped recommendation system, learning-to-rank, retrieval; qdrant, milvus; evaluated via a/b test, click-through; engaged (64% response, active)."
CAND_0036184,72,0.9146,"Recommendation Systems Engineer, 6.0 yrs. shipped recommendation system, retrieval, semantic search; pinecone, elasticsearch; evaluated via relevance judgment; engaged (90% response, active)."
CAND_0024466,73,0.9141,"Search Engineer, 5.2 yrs. shipped recommendation system, learning-to-rank, retrieval; pinecone, bm25; evaluated via a/b test, click-through."
CAND_0095619,74,0.9140,"NLP Engineer, 15.6 yrs. shipped recommendation system, learning to rank, retrieval; pinecone, weaviate; evaluated via eval framework, click-through; Mumbai-based (preferred); engaged (90% response, active)."
CAND_0051004,75,0.9128,"Senior Data Scientist, 4.7 yrs. shipped recommendation system, retrieval, semantic search; pinecone, qdrant; evaluated via evaluation framework; Delhi-based (preferred)."
CAND_0065195,76,0.9117,"Search Engineer, 5.1 yrs. shipped recommendation system, learning to rank, retrieval; pinecone, qdrant; evaluated via evaluation framework; engaged (80% response, active)."
CAND_0057701,77,0.9100,"Recommendation Systems Engineer, 4.1 yrs. shipped recommendation system, ranking model, learning to rank; qdrant, milvus; evaluated via a/b test, click-through; engaged (56% response, active)."
CAND_0066999,78,0.9099,"Recommendation Systems Engineer, 5.9 yrs. shipped recommendation system, learning-to-rank, retrieval; pinecone, opensearch; evaluated via eval framework, click-through; Delhi-based (preferred); engaged (63% response, active)."
CAND_0019480,79,0.9098,"NLP Engineer, 2.8 yrs. shipped recommendation system, ranking model, retrieval; pinecone, milvus; evaluated via a/b test, evaluation framework; in India, will relocate; engaged (87% response, active)."
CAND_0030827,80,0.9095,"Senior Data Scientist, 5.4 yrs. shipped recommendation system, learning to rank, retrieval; qdrant, elasticsearch; evaluated via relevance judgment, click-through; outside India, no relocate; engaged (52% response, active)."
CAND_0080766,81,0.9059,"Staff Machine Learning Engineer, 8.8 yrs. shipped retrieval, semantic search, embedding; milvus, opensearch; evaluated via ndcg, a/b test; in India, will relocate; concern: not open-to-work."
CAND_0016163,82,0.9051,"Applied ML Engineer, 6.7 yrs. shipped recommendation system, retrieval, semantic search; pinecone, weaviate; evaluated via relevance judgment; Gurgaon-based (preferred); engaged (72% response, active)."
CAND_0044855,83,0.9047,"Senior Data Scientist, 6.6 yrs. shipped recommendation system, learning to rank, retrieval; pinecone, qdrant; evaluated via a/b test, evaluation framework; in India, will relocate; concern: not open-to-work."
CAND_0057563,84,0.9008,"NLP Engineer, 6.8 yrs. shipped recommendation system, learning-to-rank, retrieval; opensearch, elasticsearch; evaluated via a/b test, relevance judgment; in India, will relocate; concern: not open-to-work."
CAND_0072660,85,0.8985,"Machine Learning Engineer, 7.1 yrs. shipped recommendation system, learning-to-rank, retrieval; opensearch, elasticsearch; evaluated via click-through; outside India, no relocate; engaged (53% response, active)."
CAND_0095528,86,0.8972,"Senior Data Scientist, 5.3 yrs. shipped recommendation system, recsys, retrieval; qdrant, opensearch; evaluated via a/b test; engaged (55% response, active)."
CAND_0024620,87,0.8971,"AI Engineer, 5.9 yrs. shipped recommendation system, learning-to-rank, retrieval; elasticsearch, bm25; evaluated via click-through."
CAND_0061339,88,0.8941,"Search Engineer, 4.2 yrs. shipped recommendation system, ranking model, retrieval; milvus, opensearch; evaluated via a/b test, click-through; in India, will relocate; engaged (90% response, active)."
CAND_0005260,89,0.8871,"Senior NLP Engineer, 5.2 yrs. shipped learning-to-rank, retrieval, semantic search; faiss, bm25; evaluated via ndcg, mrr; in India, will relocate; concern: not open-to-work."
CAND_0020877,90,0.8871,"Applied ML Engineer, 5.1 yrs. shipped recommendation system, retrieval, semantic search; pinecone, weaviate; evaluated via eval framework, evaluation framework; Gurgaon-based (preferred); concern: not open-to-work."
CAND_0013536,91,0.8868,"Applied ML Engineer, 14.1 yrs. shipped recommendation system, ranking model, retrieval; pinecone, milvus; evaluated via a/b test, click-through; engaged (87% response, active)."
CAND_0081686,92,0.8842,"Search Engineer, 6.0 yrs. shipped recommendation system, learning-to-rank, retrieval; milvus, elasticsearch; evaluated via a/b test, relevance judgment; outside India, no relocate; concern: not open-to-work."
CAND_0020350,93,0.8837,"AI Engineer, 5.8 yrs. shipped recommendation system, retrieval, vector search; faiss, bm25; engaged (58% response, active)."
CAND_0054123,94,0.8819,"Applied ML Engineer, 4.7 yrs. shipped recommendation system, recsys, retrieval; weaviate, qdrant; evaluated via a/b test, relevance judgment; Gurgaon-based (preferred); concern: not open-to-work."
CAND_0030468,95,0.8802,"Senior Applied Scientist, 5.4 yrs. shipped recommendation system, retrieval, information retrieval; milvus, opensearch; evaluated via a/b test; in India, will relocate; engaged (78% response, active)."
CAND_0083852,96,0.8802,"Data Scientist, 6.0 yrs. shipped retrieval, re-ranking, information retrieval; pinecone, qdrant; in India, will relocate; engaged (85% response, active)."
CAND_0096172,97,0.8793,"NLP Engineer, 5.2 yrs. shipped recommendation system, recsys, retrieval; qdrant, opensearch; evaluated via a/b test, relevance judgment; concern: not open-to-work."
CAND_0030031,98,0.8774,"AI Engineer, 5.7 yrs. shipped recommendation system, ranking model, retrieval; milvus, bm25; evaluated via a/b test, eval framework; concern: not open-to-work."
CAND_0006567,99,0.8759,"Senior AI Engineer, 7.9 yrs. shipped recommendation system, retrieval, information retrieval; bm25; evaluated via a/b test; Noida-based (preferred); engaged (79% response, active)."
CAND_0004402,100,0.8726,"AI Research Engineer, 6.0 yrs. shipped learning to rank, retrieval, re-ranking; qdrant, opensearch; Delhi-based (preferred); engaged (83% response, active)."
